IfcAnnotationFillArea,
IfcAnnotationFillAreaOccurrence,
IfcAnnotationOccurrence,
IfcAnnotationSurface,
IfcAnnotationSurfaceOccurrence,
IfcAnnotationSymbolOccurrence,
IfcAnnotationTextOccurrence,
IfcApplication,应用
IfcAppliedValue,
IfcAppliedValueRelationship,
IfcApproval,批准
IfcApprovalActorRelationship,
IfcApprovalPropertyRelationship,
IfcApprovalRelationship,
IfcArbitraryClosedProfileDef,任意闭合文件
IfcArbitraryOpenProfileDef,
IfcArbitraryProfileDefWithVoids,
IfcAsset,资产
IfcAsymmetricIShapeProfileDef,
IfcAxis1Placement,
IfcAxis2Placement2D,
IfcAxis2Placement3D,
IfcBSplineCurve,
IfcBeam,梁
IfcBeamType,
IfcBezierCurve,
IfcBlobTexture,
IfcBlock,砌块
IfcBoilerType,锅炉类型
IfcBooleanClippingResult,剪切结果
IfcBooleanResult,布尔运算
IfcBoundaryCondition,
IfcBoundaryEdgeCondition,
IfcBoundaryFaceCondition,
IfcBoundaryNodeCondition,
IfcBoundaryNodeConditionWarping,
IfcBoundedCurve,
IfcBoundedSurface,
IfcBoundingBox,边框
IfcBoxedHalfSpace,
IfcBuilding,建筑物
IfcBuildingElement,建筑物元素
IfcBuildingElementComponent,建筑物元素组件
IfcBuildingElementPart,
IfcBuildingElementProxy,
IfcBuildingElementProxyType,
IfcBuildingElementType,
IfcBuildingStorey,楼层
IfcCShapeProfileDef,
IfcCableCarrierFittingType,桥架配件类型
IfcCableCarrierSegmentType,桥架类型
IfcCableSegmentType,电缆类型
IfcCalendarDate,
IfcCartesianPoint,
IfcCartesianTransformationOperator,
IfcCartesianTransformationOperator2D,
IfcCartesianTransformationOperator2DnonUniform,
IfcCartesianTransformationOperator3D,
IfcCartesianTransformationOperator3DnonUniform,
IfcCenterLineProfileDef,
IfcChamferEdgeFeature,
IfcChillerType,冷却器类型
IfcCircle,
IfcCircleHollowProfileDef,
IfcCircleProfileDef,
IfcClassification,分类
IfcClassificationItem,
IfcClassificationItemRelationship,
IfcClassificationNotation,
IfcClassificationNotationFacet,
IfcClassificationReference,
IfcClosedShell,
IfcCoilType,盘类型
IfcColourRgb,
IfcColourSpecification,
IfcColumn,柱
IfcColumnType,
IfcComplexProperty,
IfcCompositeCurve,
IfcCompositeCurveSegment,
IfcCompositeProfileDef,
IfcCompressorType,压缩机类型
IfcCondenserType,聚光器类型
IfcCondition,条件
IfcConditionCriterion,条件标准
IfcConic,锥
IfcConnectedFaceSet,
IfcConnectionCurveGeometry,
IfcConnectionGeometry,
IfcConnectionPointEccentricity,
IfcConnectionPointGeometry,
IfcConnectionPortGeometry,
IfcConnectionSurfaceGeometry,
IfcConstraint,约束
IfcConstraintAggregationRelationship,约束聚合关系
IfcConstraintClassificationRelationship,约束分类关系
IfcConstraintRelationship,约束关系
IfcConstructionEquipmentResource,施工设备资源
IfcConstructionMaterialResource,施工材料资源
IfcConstructionProductResource,施工产品资源
IfcConstructionResource,施工资源
IfcContextDependentUnit,上下文相关单元
IfcControl,控制
IfcControllerType,控制器类型
IfcConversionBasedUnit,基于转换的单元
IfcCooledBeamType,
IfcCoolingTowerType,冷却塔类型
IfcCoordinatedUniversalTimeOffset,
IfcCostItem,成本？
IfcCostSchedule,成本计划
IfcCostValue,成本价值
IfcCovering,罩面、面层
IfcCoveringType,面层类型
IfcCraneRailAShapeProfileDef,起重机
IfcCraneRailFShapeProfileDef,
IfcCrewResource,人员
IfcCsgPrimitive3D,
IfcCsgSolid,
IfcCurrencyRelationship,
IfcCurtainWall,幕墙
IfcCurtainWallType,
IfcCurve,曲线
IfcCurveBoundedPlane,
IfcCurveStyle,
IfcCurveStyleFont,
IfcCurveStyleFontAndScaling,
IfcCurveStyleFontPattern,
IfcDamperType,闸阀类型
IfcDateAndTime,
IfcDefinedSymbol,
IfcDerivedProfileDef,
IfcDerivedUnit,
IfcDerivedUnitElement,
IfcDiameterDimension,
IfcDimensionCalloutRelationship,
IfcDimensionCurve,
IfcDimensionCurveDirectedCallout,
IfcDimensionCurveTerminator,
IfcDimensionPair,
IfcDimensionalExponents,
IfcDirection,
IfcDiscreteAccessory,附件
IfcDiscreteAccessoryType,
IfcDistributionChamberElement,分配室元素
IfcDistributionChamberElementType,
IfcDistributionControlElement,
IfcDistributionControlElementType,
IfcDistributionElement,
IfcDistributionElementType,
IfcDistributionFlowElement,
IfcDistributionFlowElementType,
IfcDistributionPort,
IfcDocumentElectronicFormat,
IfcDocumentInformation,
IfcDocumentInformationRelationship,
IfcDocumentReference,
IfcDoor,门
IfcDoorLiningProperties,
IfcDoorPanelProperties,
IfcDoorStyle,
IfcDraughtingCallout,绘图标注
IfcDraughtingCalloutRelationship,
IfcDraughtingPreDefinedColour,
IfcDraughtingPreDefinedCurveFont,
IfcDraughtingPreDefinedTextFont,
IfcDuctFittingType,管道配件类型
IfcDuctSegmentType,管道
IfcDuctSilencerType,管道消声器类型
IfcEdge,
IfcEdgeCurve,
IfcEdgeFeature,
IfcEdgeLoop,
IfcElectricApplianceType,电器类型
IfcElectricDistributionPoint,配电
IfcElectricFlowStorageDeviceType,电流存储装置
IfcElectricGeneratorType,发电机类型
IfcElectricHeaterType,电子加热器
IfcElectricMotorType,电动机类型
IfcElectricTimeControlType,
IfcElectricalBaseProperties,电气基础属性
IfcElectricalCircuit,电路
IfcElectricalElement,电气元素
IfcElement,元素
IfcElementAssembly,元素装配
IfcElementComponent,元素组件
IfcElementComponentType,元素组件类型
IfcElementQuantity,元素数量
IfcElementType,元素类型
IfcElementarySurface,
IfcEllipse,椭圆
IfcEllipseProfileDef,
IfcEnergyConversionDevice,能量转换器
IfcEnergyConversionDeviceType,
IfcEnergyProperties,能量属性
IfcEnvironmentalImpactValue,
IfcEquipmentElement,设备元素
IfcEquipmentStandard,设备标准
IfcEvaporativeCoolerType,蒸发冷却器类型
IfcEvaporatorType,蒸发器类型
IfcExtendedMaterialProperties,
IfcExternalReference,外部参考
IfcExternallyDefinedHatchStyle,
IfcExternallyDefinedSurfaceStyle,
IfcExternallyDefinedSymbol,
IfcExternallyDefinedTextFont,
IfcExtrudedAreaSolid,
IfcFace,
IfcFaceBasedSurfaceModel,
IfcFaceBound,
IfcFaceOuterBound,
IfcFaceSurface,
IfcFacetedBrep,
IfcFacetedBrepWithVoids,
IfcFailureConnectionCondition,
IfcFanType,风扇类型
IfcFastener,紧固件
IfcFastenerType,紧固件类型
IfcFeatureElement,特征元素
IfcFeatureElementAddition,
IfcFeatureElementSubtraction,
IfcFillAreaStyle,填充区域样式
IfcFillAreaStyleHatching,
IfcFillAreaStyleTileSymbolWithStyle,
IfcFillAreaStyleTiles,
IfcFilterType,过滤类型
IfcFireSuppressionTerminalType,灭火终端类型
IfcFlowController,流量控制器
IfcFlowControllerType,
IfcFlowFitting,流量配件
IfcFlowFittingType,
IfcFlowInstrumentType,流量仪表类型
IfcFlowMeterType,流量计类型
IfcFlowMovingDevice,流动装置
IfcFlowMovingDeviceType,
IfcFlowSegment,
IfcFlowSegmentType,
IfcFlowStorageDevice,
IfcFlowStorageDeviceType,
IfcFlowTerminal,流量终端
IfcFlowTerminalType,
IfcFlowTreatmentDevice,流量处理装置
IfcFlowTreatmentDeviceType,
IfcFluidFlowProperties,
IfcFooting,基础
IfcFuelProperties,基础属性
IfcFurnishingElement,家具元素
IfcFurnishingElementType,家具元素类型
IfcFurnitureStandard,
IfcFurnitureType,家具类型
IfcGasTerminalType,气体终端
IfcGeneralMaterialProperties,一般材料属性
IfcGeneralProfileProperties,
IfcGeometricCurveSet,
IfcGeometricRepresentationContext,
IfcGeometricRepresentationItem,
IfcGeometricRepresentationSubContext,
IfcGeometricSet,
IfcGrid,
IfcGridAxis,轴网
IfcGridPlacement,
IfcGroup,
IfcHalfSpaceSolid,
IfcHeatExchangerType,热交换器类型
IfcHumidifierType,加湿器类型
IfcHygroscopicMaterialProperties,
IfcIShapeProfileDef,
IfcImageTexture,
IfcInventory,清单
IfcIrregularTimeSeries,
IfcIrregularTimeSeriesValue,
IfcJunctionBoxType,接线盒
IfcLShapeProfileDef,
IfcLaborResource,劳动力资源
IfcLampType,灯
IfcLibraryInformation,图书馆信息
IfcLibraryReference,
IfcLightDistributionData,
IfcLightFixtureType,灯具类型
IfcLightIntensityDistribution,
IfcLightSource,光源
IfcLightSourceAmbient,
IfcLightSourceDirectional,
IfcLightSourceGoniometric,
IfcLightSourcePositional,
IfcLightSourceSpot,
IfcLine,
IfcLinearDimension,
IfcLocalPlacement,
IfcLocalTime,
IfcLoop,
IfcManifoldSolidBrep,
IfcMappedItem,
IfcMaterial,材料
IfcMaterialClassificationRelationship,
IfcMaterialDefinitionRepresentation,
IfcMaterialLayer,
IfcMaterialLayerSet,
IfcMaterialLayerSetUsage,
IfcMaterialList,材料清单
IfcMaterialProperties,
IfcMeasureWithUnit,
IfcMechanicalConcreteMaterialProperties,
IfcMechanicalFastener,机械固件
IfcMechanicalFastenerType,
IfcMechanicalMaterialProperties,机械材料属性
IfcMechanicalSteelMaterialProperties,
IfcMember,
IfcMemberType,
IfcMetric,
IfcMonetaryUnit,
IfcMotorConnectionType,
IfcMove,
IfcNamedUnit,
IfcObject,对象
IfcObjectDefinition,
IfcObjectPlacement,
IfcObjective,
IfcOccupant,
IfcOffsetCurve2D,
IfcOffsetCurve3D,
IfcOneDirectionRepeatFactor,
IfcOpenShell,
IfcOpeningElement,
IfcOpticalMaterialProperties,
IfcOrderAction,
IfcOrganization,
IfcOrganizationRelationship,
IfcOrientedEdge,
IfcOutletType,
IfcOwnerHistory,
IfcParameterizedProfileDef,
IfcPath,
IfcPerformanceHistory,
IfcPermeableCoveringProperties,
IfcPermit,
IfcPerson,
IfcPersonAndOrganization,
IfcPhysicalComplexQuantity,
IfcPhysicalQuantity,
IfcPhysicalSimpleQuantity,
IfcPile,
IfcPipeFittingType,
IfcPipeSegmentType,
IfcPixelTexture,
IfcPlacement,
IfcPlanarBox,
IfcPlanarExtent,
IfcPlane,平面
IfcPlate,盘
IfcPlateType,
IfcPoint,
IfcPointOnCurve,
IfcPointOnSurface,
IfcPolyLoop,
IfcPolygonalBoundedHalfSpace,
IfcPolyline,
IfcPort,
IfcPostalAddress,
IfcPreDefinedColour,
IfcPreDefinedCurveFont,
IfcPreDefinedDimensionSymbol,
IfcPreDefinedItem,
IfcPreDefinedPointMarkerSymbol,
IfcPreDefinedSymbol,
IfcPreDefinedTerminatorSymbol,
IfcPreDefinedTextFont,
IfcPresentationLayerAssignment,
IfcPresentationLayerWithStyle,
IfcPresentationStyle,
IfcPresentationStyleAssignment,
IfcProcedure,规程
IfcProcess,
IfcProduct,
IfcProductDefinitionShape,
IfcProductRepresentation,
IfcProductsOfCombustionProperties,
IfcProfileDef,
IfcProfileProperties,
IfcProject,项目
IfcProjectOrder,
IfcProjectOrderRecord,
IfcProjectionCurve,
IfcProjectionElement,
IfcProperty,属性
IfcPropertyBoundedValue,
IfcPropertyConstraintRelationship,
IfcPropertyDefinition,
IfcPropertyDependencyRelationship,
IfcPropertyEnumeratedValue,
IfcPropertyEnumeration,
IfcPropertyListValue,
IfcPropertyReferenceValue,
IfcPropertySet,
IfcPropertySetDefinition,
IfcPropertySingleValue,
IfcPropertyTableValue,
IfcProtectiveDeviceType,
IfcProxy,代理
IfcPumpType,泵类型
IfcQuantityArea,
IfcQuantityCount,
IfcQuantityLength,
IfcQuantityTime,
IfcQuantityVolume,
IfcQuantityWeight,
IfcRadiusDimension,
IfcRailing,栏杆
IfcRailingType,
IfcRamp,悬梯、坡道
IfcRampFlight,
IfcRampFlightType,
IfcRationalBezierCurve,
IfcRectangleHollowProfileDef,
IfcRectangleProfileDef,
IfcRectangularPyramid,
IfcRectangularTrimmedSurface,
IfcReferencesValueDocument,
IfcRegularTimeSeries,
IfcReinforcementBarProperties,
IfcReinforcementDefinitionProperties,
IfcReinforcingBar,钢筋
IfcReinforcingElement,
IfcReinforcingMesh,加强网
IfcRelAggregates,
IfcRelAssigns,
IfcRelAssignsTasks,
IfcRelAssignsToActor,
IfcRelAssignsToControl,
IfcRelAssignsToGroup,
IfcRelAssignsToProcess,
IfcRelAssignsToProduct,
IfcRelAssignsToProjectOrder,
IfcRelAssignsToResource,
IfcRelAssociates,
IfcRelAssociatesAppliedValue,
IfcRelAssociatesApproval,
IfcRelAssociatesClassification,
IfcRelAssociatesConstraint,
IfcRelAssociatesDocument,
IfcRelAssociatesLibrary,
IfcRelAssociatesMaterial,
IfcRelAssociatesProfileProperties,
IfcRelConnects,
IfcRelConnectsElements,
IfcRelConnectsPathElements,
IfcRelConnectsPortToElement,
IfcRelConnectsPorts,
IfcRelConnectsStructuralActivity,
IfcRelConnectsStructuralElement,
IfcRelConnectsStructuralMember,
IfcRelConnectsWithEccentricity,
IfcRelConnectsWithRealizingElements,
IfcRelContainedInSpatialStructure,
IfcRelCoversBldgElements,
IfcRelCoversSpaces,
IfcRelDecomposes,
IfcRelDefines,
IfcRelDefinesByProperties,
IfcRelDefinesByType,
IfcRelFillsElement,
IfcRelFlowControlElements,
IfcRelInteractionRequirements,
IfcRelNests,
IfcRelOccupiesSpaces,
IfcRelOverridesProperties,
IfcRelProjectsElement,
IfcRelReferencedInSpatialStructure,
IfcRelSchedulesCostItems,
IfcRelSequence,
IfcRelServicesBuildings,
IfcRelSpaceBoundary,
IfcRelVoidsElement,
IfcRelationship,
IfcRelaxation,
IfcRepresentation,表现
IfcRepresentationContext,
IfcRepresentationItem,
IfcRepresentationMap,
IfcResource,资源
IfcRevolvedAreaSolid,
IfcRibPlateProfileProperties,
IfcRightCircularCone,
IfcRightCircularCylinder,
IfcRoof,屋顶
IfcRoot,
IfcRoundedEdgeFeature,
IfcRoundedRectangleProfileDef,
IfcSIUnit,
IfcSanitaryTerminalType,卫浴终端类型
IfcScheduleTimeControl,
IfcSectionProperties,剖面属性
IfcSectionReinforcementProperties,
IfcSectionedSpine,
IfcSensorType,传感器类型
IfcServiceLife,使用寿命
IfcServiceLifeFactor,
IfcShapeAspect,形状
IfcShapeModel,形状模型
IfcShapeRepresentation,形状表现
IfcShellBasedSurfaceModel,
IfcSimpleProperty,
IfcSite,场地
IfcSlab,板
IfcSlabType,板类型
IfcSlippageConnectionCondition,
IfcSolidModel,固体模型
IfcSoundProperties,
IfcSoundValue,
IfcSpace,空间
IfcSpaceHeaterType,小型供暖器类型
IfcSpaceProgram,
